Question,Answer
වී ගොවිතැනේදී කාබනික පළිබෝධනාශක භාවිතා කිරීමෙන් ලැබෙන ප්‍රයෝජන මොනවාද?,"කාබනික පළිබෝධනාශක ස්වභාවික මූලාශ්‍රවලින් ලබාගත් ඒවා වන අතර හිතකර කෘමීන්ට සහ පරිසරයට සිදුවන හානිය අඩුයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන් ඩයටොමැසීයස් පෘථිවිය භාවිතා කරන්නේ කෙසේද?,"ඩයටෝමැසියස් පෘථිවිය යනු පළිබෝධකයන්ගේ බාහිර ඇටසැකිලි වලට හානි කරන, විජලනය හා මරණයට හේතු වන ස්වභාවික කුඩු."
වී පළිබෝධ උවදුර කළමනාකරණය කිරීමේදී කල්තියා හඳුනා ගැනීම ඉටු කරන කාර්යභාරය කුමක්ද?,"කලින් හඳුනාගැනීමෙන් කාලෝචිත මැදිහත්වීම්, දරුණු ආසාදන වැලැක්වීම සහ වගා හානි අවම කිරීම සඳහා ඉඩ සලසයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන් ජීව විද්‍යාත්මක පාලන කාරක භාවිතා කරන්නේ කෙසේද?,"ජීව විද්‍යාත්මක පාලන නියෝජිතයන් අතර පළිබෝධ ගහනය ඉලක්ක කර අඩු කරන ක්ෂුද්‍ර ජීවීන් සහ කෘමීන් ඇතුළත් වේ."
පළිබෝධ කළමනාකරණය සඳහා ප්‍රතිරෝධී වී වර්ග භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"ප්‍රතිරෝධී වී වර්ග වලට පළිබෝධ ප්‍රහාරවලට වඩා හොඳින් ඔරොත්තු දිය හැකි අතර, රසායනික මැදිහත්වීම්වල අවශ්‍යතාවය අඩු කරයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන් වසුන් යෙදීම භාවිතා කරන්නේ කෙසේද?,"වසුන් යෙදීමෙන් වල් පැලෑටි වර්ධනය මැඩපවත්වා පළිබෝධකයන් සඳහා වාසස්ථාන අඩු කරන බාධකයක් නිර්මාණය කළ හැකිය."
වී පළිබෝධ පාලනය කිරීමේදී නිසි වාරිමාර්ග ඉටු කරන කාර්යභාරය කුමක්ද?,"නිසි වාරිමාර්ග මගින් පළිබෝධ අභිජනනයට හිතකර තත්ත්වයන් අඩු කර පළිබෝධ පාලන ක්‍රමවල සඵලතාවය වැඩි කළ හැක."
වී පළිබෝධ පාලනය කිරීමට ගොවීන් ශාක පදනම් කරගත් විකර්ෂක භාවිතා කරන්නේ කෙසේද?,"සුදුළූණු සහ මිරිස් ඉසින වැනි ශාක පදනම් වූ විකර්ෂක, වී භෝග පෝෂණය කිරීමෙන් පළිබෝධකයන් වළක්වයි."
පළිබෝධ කළමනාකරණය සඳහා උගුල් බෝග භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"උගුල් භෝග ප්‍රධාන වී වගාවෙන් පළිබෝධකයන් ආකර්ෂණය කර ගන්නා අතර, හානිය අවම කර පළිබෝධ පාලනය පහසු කරයි."
වී පළිබෝධකයන් නිරීක්ෂණය කිරීමට සහ පාලනය කිරීමට ගොවීන් කෘතිම ෆෙරමෝන භාවිතා කරන්නේ කෙසේද?,"පළිබෝධකයන් ආකර්ෂණය කර ගැනීමට සහ උගුලට හසු කර ගැනීමට කෘතිම ෆෙරමෝන ස්වභාවික සංසර්ග සංඥා අනුකරණය කරයි, ඔවුන්ගේ ගහනය නිරීක්ෂණය කිරීමට සහ කළමනාකරණය කිරීමට උපකාරී වේ."
පළිබෝධ කළමනාකරණයේදී නිසි ක්ෂේත්‍ර සනීපාරක්ෂාව ඉටු කරන කාර්යභාරය කුමක්ද?,"පිරිසිදු ක්ෂේත්‍ර නඩත්තු කිරීම සහ සුන්බුන් ඉවත් කිරීම පළිබෝධකයන්ගේ වාසස්ථාන අඩු කරන අතර ඒවා ආසාදනය වීමේ හැකියාව සීමා කරයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන් ජෛව පළිබෝධනාශක භාවිතා කරන්නේ කෙසේද?,"ජෛව පළිබෝධනාශක ස්වභාවික ජීවීන් හෝ ද්‍රව්‍ය වලින් ව්‍යුත්පන්න කර ඇති අතර පරිසර හිතකාමී වන අතරම පළිබෝධකයන්ට විශේෂයෙන් ඉලක්ක කළ හැකිය."
පළිබෝධ පාලනය සඳහා කෘමි වර්ධන නියාමක (IGRs) භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"IGRs පළිබෝධ වර්ධනයට බාධා කරයි, ඒවා පරිණත වීම සහ ප්‍රජනනය වීම වළක්වයි."
කුඹුරු වල පළිබෝධ උවදුර හඳුනා ගැනීමට ගොවීන්ට දුරස්ථ සංවේද තාක්ෂණය භාවිතා කළ හැක්කේ කෙසේද?,"දුරස්ථ සංවේද තාක්ෂණය මඟින් ක්ෂේත්‍ර තත්ත්වයන් සහ පළිබෝධ ගහනය පිළිබඳ දත්ත ලබා දෙයි, ඉලක්කගත සහ කාර්යක්ෂම පළිබෝධ කළමනාකරණයට ඉඩ සලසයි."
වී පළිබෝධ ගැටළු අවම කිරීම සඳහා පළිබෝධ-ප්‍රතිරෝධී බෝග කළමනාකරණය ඉටු කරන කාර්යභාරය කුමක්ද?,"පළිබෝධ-ප්‍රතිරෝධී බෝග කළමනාකරණ පිළිවෙත් ක්‍රියාත්මක කිරීම පළිබෝධ හානි අවම කිරීමට සහ රසායනික පාලන මත යැපීම අඩු කිරීමට උපකාරී වේ."
වී පළිබෝධ කළමනාකරණය සඳහා ගොවීන් කෘමිනාශක භාවිතා කරන්නේ කෙසේද?,"පළිබෝධකයන් වැළැක්වීමට සහ ඒවායේ පෝෂණ ක්‍රියාකාරකම් අඩු කිරීමට වී වගාවන්ට කෘමිනාශක යෙදිය හැකිය."
වී ගොවිතැන සඳහා ඒකාබද්ධ පළිබෝධ කළමනාකරණය (IPM) භාවිතා කිරීමේ වාසි මොනවාද?,"IPM තිරසාර හා ඵලදායී පළිබෝධ කළමනාකරණය සඳහා සංස්කෘතික, ජීව විද්‍යාත්මක සහ රසායනික ක්‍රම ඇතුළු බහු පළිබෝධ පාලන උපාය මාර්ග ඒකාබද්ධ කරයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන්ට ආවරණ බෝග භාවිතා කළ හැක්කේ කෙසේද?,"ආවරණ භෝග වලට හිතකර කෘමීන් ආකර්ෂණය කර ගත හැකි අතර පළිබෝධ විලෝපිකයන් සඳහා වාසස්ථාන සැපයිය හැකිය, පළිබෝධ ගහනය පාලනය කිරීමට උපකාරී වේ."
ඵලදායි පළිබෝධ කළමනාකරණයේ දී නිශ්චිත පළිබෝධ හඳුනාගැනීම ඉටු කරන කාර්යභාරය කුමක්ද?,"නිවැරදි පළිබෝධ හඳුනාගැනීම පළිබෝධ කළමනාකරණ උපක්‍රමවල සඵලතාවය වැඩිදියුණු කරමින් නිවැරදි පාලන ක්‍රම යොදන බව සහතික කරයි."
ගොවීන් කුඹුරුවල පසෙහි වාසය කරන පළිබෝධකයන් මර්දනය කිරීමට හිතකර නෙමටෝඩාවන් භාවිතා කරන්නේ කෙසේද?,"ප්‍රයෝජනවත් නෙමටෝඩාවන් යනු ඔවුන්ගේ ගහනය අඩු කරමින් පසෙහි වාසය කරන පළිබෝධකයන් පරපෝෂිත කර විනාශ කරන ක්ෂුද්‍ර ජීවීන් වේ."
කුඹුරුවල පළිබෝධ කළමනාකරණය සඳහා කොළ පොහොර භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"කොළ පොහොර පසෙහි සෞඛ්‍යය වැඩි දියුණු කරන අතර වල් පැලෑටි මර්දනය කළ හැකි අතර එමඟින් ඇතැම් පළිබෝධකයන්ගේ ව්‍යාප්තිය අඩු කළ හැකිය."
වී පළිබෝධ පාලනය කිරීමට ගොවීන්ට නිරවද්‍ය කෘෂිකාර්මික මෙවලම් භාවිතා කළ හැක්කේ කෙසේද?,"නිරවද්‍ය කෘෂිකාර්මික මෙවලම් මගින් පළිබෝධ ස්ථාන සහ තත්වයන් පිළිබඳ සවිස්තරාත්මක දත්ත සපයන අතර, ඉලක්කගත සහ කාර්යක්ෂම පළිබෝධ පාලනයට ඉඩ සලසයි."
වී පළිබෝධ පාලනය කිරීමේදී පළිබෝධ ජීවන චක්‍ර නිරීක්ෂණය කිරීම කුමන කාර්යභාරයක් ඉටු කරයිද?,"පළිබෝධකයන්ගේ ජීවන චක්‍ර අවබෝධ කර ගැනීම ගොවීන්ට කාල මැදිහත්වීම් වඩාත් ඵලදායී ලෙස, පළිබෝධ ගහනය අඩු කිරීමට සහ හානිය අවම කිරීමට උපකාරී වේ."
කුඹුරු වල පළිබෝධ ගැටළු අවම කිරීම සඳහා ගොවීන් පාංශු කළමනාකරණ ශිල්පීය ක්‍රම භාවිතා කරන්නේ කෙසේද?,"නිසි පාංශු කළමනාකරණය මගින් පාංශු සෞඛ්‍යය වැඩි දියුණු කළ හැකි අතර පළිබෝධ වර්ධනයට හිතකර තත්වයන් අඩු කළ හැකිය."
උෂ්ණත්ව සංවේදී පළිබෝධ කළමනාකරණ උපාය මාර්ග භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"නිශ්චිත උෂ්ණත්වවලදී ප්‍රතිකාර යෙදීම වැනි උෂ්ණත්ව සංවේදී උපාය මාර්ග, පළිබෝධ පාලන ක්‍රමවල සඵලතාවය වැඩිදියුණු කළ හැක."
ගොවීන් කුඹුරුවල පළිබෝධ නිරීක්ෂණ සඳහා ඩ්‍රෝන තාක්ෂණය භාවිතා කරන්නේ කෙසේද?,"ඩ්‍රෝන යානාවලට ගුවනින් ඡායාරූප සහ පළිබෝධ ආක්‍රමණය පිළිබඳ දත්ත ලබා ගත හැකි අතර, වඩාත් නිවැරදි හා කාලෝචිත පළිබෝධ කළමනාකරණය සක්‍රීය කරයි."
වී පළිබෝධ පාලනය කිරීමේදී පසෙහි pH අගය කළමනාකරණය කරන කාර්යභාරය කුමක්ද?,"ප්‍රශස්ත පාංශු pH අගය පවත්වා ගැනීම පළිබෝධ ගහනයට බලපාන අතර පළිබෝධ ආශ්‍රිත ගැටළු ඇතිවීමේ සම්භාවිතාව අඩු කරයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන් ජෛව පාලන කාරක භාවිතා කරන්නේ කෙසේද?,"පරපෝෂිත බඹරුන් හෝ කොල්ලකාරී කුරුමිණියන් වැනි ජෛව පාලන කාරක මගින් පළිබෝධ ගහනය ස්වභාවිකව සහ තිරසාරව පාලනය කිරීමට උපකාරී වේ."
ඉලක්කගත පළිබෝධ පාලන ප්‍රතිකාර භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"ඉලක්කගත ප්‍රතිකාර විශේෂිත පළිබෝධකයන් කෙරෙහි අවධානය යොමු කරයි, ඉලක්ක නොවන විශේෂවලට ඇති බලපෑම අවම කිරීම සහ පාරිසරික හානිය අවම කිරීම."
ගොවීන් වී පළිබෝධ පාලනය කිරීම සඳහා උගුල් සහ මරා දැමීමේ ක්‍රම භාවිතා කරන්නේ කෙසේද?,"උගුල් සහ මරා දැමීමේ ක්‍රමවලට පළිබෝධකයන් අල්ලා ගැනීම සහ තුරන් කිරීම සඳහා උගුල් භාවිතා කිරීම, ඔවුන්ගේ සංඛ්‍යාව අඩු කිරීම සහ ආසාදන වැලැක්වීම ඇතුළත් වේ."
පාංශු තෙතමන කළමනාකරණය වී පළිබෝධ පාලනය කිරීමේදී ඉටු කරන කාර්යභාරය කුමක්ද?,"නිසි පාංශු තෙතමන කළමනාකරණය මගින් පළිබෝධ වර්ධනයට හිතකර තත්ත්වයන් අවම කර බෝගවලට ඒවායේ බලපෑම සීමා කළ හැක."
රසායනික ද්‍රව්‍ය මත යැපීම අඩු කිරීමට ගොවීන්ට විකල්ප පළිබෝධ පාලන ක්‍රම භාවිතා කළ හැක්කේ කෙසේද?,"ජීව විද්‍යාත්මක පාලන සහ කාබනික ප්‍රතිකාර වැනි විකල්ප ක්‍රම අඩු පාරිසරික බලපෑමකින් පළිබෝධ කළමනාකරණය සඳහා තිරසාර විකල්ප සපයයි."
දේශගුණික-ස්මාර්ට් පළිබෝධ කළමනාකරණ පිළිවෙත් භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"දේශගුණික-ස්මාර්ට් පිළිවෙත් වෙනස් වන දේශගුණික තත්ත්වයන්ට පළිබෝධ කළමනාකරණ උපාය මාර්ග අනුවර්තනය කරයි, කාර්යක්ෂමතාව සහ තිරසාරභාවය වැඩි දියුණු කරයි."
ගොවීන් කුඹුරු සඳහා ස්වයංක්‍රීය පළිබෝධ හඳුනාගැනීමේ පද්ධති භාවිතා කරන්නේ කෙසේද?,"ස්වයංක්‍රීය පළිබෝධ හඳුනාගැනීමේ පද්ධති පළිබෝධ හඳුනා ගැනීමට සහ නිරීක්ෂණය කිරීමට සංවේදක සහ තාක්‍ෂණය භාවිතා කරයි, කාලෝචිත හා නිශ්චිත මැදිහත්වීම් සඳහා ඉඩ සලසයි."
වී පළිබෝධ පාලනය කිරීමේදී පළිබෝධ බැහැර කිරීම ඉටු කරන කාර්යභාරය කුමක්ද?,"පළිබෝධ බැහැර කිරීම යනු කුඹුරුවලට ඇතුළුවීම හෝ හානි කිරීම වැළැක්වීම සඳහා භෞතික බාධක හෝ වෙනස් කිරීම් භාවිතා කිරීමයි."
වී භෝග ආරක්ෂා කිරීම සඳහා ගොවීන්ට බහු ස්ථර පළිබෝධ කළමනාකරණ උපාය මාර්ග භාවිතා කළ හැක්කේ කෙසේද?,"බහු ස්ථර උපාය මාර්ග විවිධ පළිබෝධ පාලන ක්‍රම ඒකාබද්ධ කර විස්තීරණ ප්‍රවේශයක් නිර්මාණය කරයි, සමස්ත කාර්යක්ෂමතාව වැඩි දියුණු කරයි."
මන්දගාමී-නිදහස් පළිබෝධ පාලන සූත්‍ර භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"මන්දගාමී-නිදහස් සූත්‍ර ක්‍රමයෙන් ක්‍රියාකාරී අමුද්‍රව්‍ය මුදා හැරීමෙන්, යෙදුම් සංඛ්‍යාතය අඩු කිරීමෙන් දිගු ආරක්ෂාවක් සපයයි."
වී පළිබෝධ පාලනය කිරීම සඳහා ගොවීන් ඉලක්කගත කෘමිනාශක යෙදුම් ක්‍රම භාවිතා කරන්නේ කෙසේද?,"ස්පොට් ප්‍රතිකාර වැනි ඉලක්කගත යෙදුම් ක්‍රම, පළිබෝධකයන් වැඩි ප්‍රදේශ කෙරෙහි අවධානය යොමු කිරීම, සමස්ත පළිබෝධනාශක භාවිතය අඩු කිරීම."
ඵලදායී පළිබෝධ කළමනාකරණය සඳහා ගොවි අධ්‍යාපනය ඉටු කරන කාර්යභාරය කුමක්ද?,"පළිබෝධ හඳුනා ගැනීම, පාලන ක්‍රම සහ හොඳම භාවිතයන් පිළිබඳව ගොවීන් දැනුවත් කිරීම පළිබෝධ ඵලදායී ලෙස කළමනාකරණය කිරීමේ හැකියාව වැඩි දියුණු කරයි."
කුඹුරුවල පළිබෝධ ගැටළු අවම කිරීම සඳහා ගොවීන්ට ජල කළමනාකරණ පිළිවෙත් භාවිතා කළ හැක්කේ කෙසේද?,"ඵලදායී ජල කළමනාකරණ පිළිවෙත් මගින් පළිබෝධ වර්ධනය ප්‍රවර්ධනය කරන සහ බෝගවලට ඒවායේ බලපෑම අවම කර ගත හැකිය."
වී ගොවිතැන සඳහා ඒකාබද්ධ පළිබෝධ කළමනාකරණය (IPM) භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"IPM පළිබෝධ කළමනාකරණය සඳහා පරිපූර්ණ සහ තිරසාර ප්‍රවේශයක් සඳහා ජීව විද්‍යාත්මක, සංස්කෘතික සහ රසායනික පාලන ක්‍රම ඒකාබද්ධ කරයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන්ට නිරවද්‍ය යෙදුම් උපකරණ භාවිතා කළ හැක්කේ කෙසේද?,"නිරවද්‍ය යෙදුම් උපකරණ මගින් පළිබෝධ පාලන ප්‍රතිකාර නිවැරදිව හා කාර්යක්ෂමව සැපයීම, නාස්තිය අඩු කිරීම සහ කාර්යක්ෂමතාව වැඩි කිරීම සහතික කරයි."
වී පළිබෝධ පාලනය කිරීමේදී පාංශු සෞඛ්‍යය ඉටු කරන කාර්යභාරය කුමක්ද?,"සෞඛ්‍ය සම්පන්න පස ශක්තිමත් ශාක සඳහා සහය වන අතර පළිබෝධ සංවර්ධනයට හිතකර තත්වයන් අඩු කරයි, ඵලදායී පළිබෝධ කළමනාකරණයට දායක වේ."
වී පළිබෝධ පාලනය කිරීමට ගොවීන්ට සහකාර රෝපණ භාවිතා කළ හැක්කේ කෙසේද?,"සහයක වගාව යනු පළිබෝධ පාලනයට සහය වන පළිබෝධ පලවා හැරීමට හෝ හිතකර කෘමීන් ආකර්ෂණය කර ගැනීමට ඇතැම් ශාක එකට වගා කිරීමයි."
පළිබෝධ පාලනය සඳහා අපද්‍රව්‍ය කළමනාකරණ ක්‍රම භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"නිසි අවශේෂ කළමනාකරණය පළිබෝධ වාසස්ථාන අඩු කරන අතර කුඹුරුවල පළිබෝධ ගහනය පැතිරීම වැළැක්වීමට උපකාරී වේ."
වී පළිබෝධ පාලනය කිරීමට ගොවීන්ට පාරිසරික නිරීක්ෂණ භාවිතා කළ හැක්කේ කෙසේද?,"පාරිසරික නිරීක්ෂණ මගින් පළිබෝධ ගහනයට බලපාන සාධක පිළිබඳ දත්ත සපයයි, කාලෝචිත සහ ඉලක්කගත පළිබෝධ පාලන පියවරයන් සක්‍රීය කරයි."
ඵලදායි පළිබෝධ කළමනාකරණය සඳහා ක්ෂේත්‍ර බාලදක්ෂයින් ඉටු කරන කාර්යභාරය කුමක්ද?,"නිත්‍ය ක්ෂේත්‍ර බාලදක්ෂ කිරීම පළිබෝධ ගැටළු කල්තියා හඳුනා ගැනීමට උපකාරී වේ, කඩිනම් සහ සුදුසු කළමනාකරණ ක්‍රියාමාර්ග සඳහා ඉඩ සලසයි."
කුඹුරු වල පළිබෝධ ගැටළු අවම කිරීම සඳහා ගොවීන්ට පෝෂණ කළමනාකරණ පිළිවෙත් භාවිතා කළ හැක්කේ කෙසේද?,"නිසි පෝෂක කළමනාකරණය මගින් පළිබෝධකයන්ට වඩා ප්‍රතිරෝධී වන සෞඛ්‍ය සම්පන්න පැල ප්‍රවර්ධනය කරන අතර පළිබෝධ වර්ධනයට හිතකර තත්වයන් අඩු කරයි."
පළිබෝධ කළමනාකරණය සඳහා බහු භෝග පද්ධති භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"බහු බෝග පද්ධති ශාක විශේෂ විවිධාංගීකරණය කරයි, පළිබෝධ ගහනය අඩු කරයි සහ තනි බෝග ක්ෂේත්‍රවලට ඇති බලපෑම අවම කරයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන් ජීව විද්‍යාත්මක කෘමිනාශක භාවිතා කරන්නේ කෙසේද?,"ජීව විද්‍යාත්මක කෘමිනාශක පරිසරයට හානියක් නොවන පරිදි නිශ්චිත පළිබෝධකයන් ඉලක්ක කර පාලනය කිරීමට ස්වභාවික ජීවීන් හෝ ද්‍රව්‍ය භාවිතා කරයි."
වී පළිබෝධ පාලනය කිරීමේදී පළිබෝධ-ප්‍රතිරෝධී ශාක අභිජනනය ඉටු කරන කාර්යභාරය කුමක්ද?,"පළිබෝධ-ප්‍රතිරෝධී ශාක වර්ග අභිජනනය කිරීමෙන් රසායනික පාලන අවශ්‍යතා අඩු කරන අතර පළිබෝධ ප්‍රහාරවලට ඔරොත්තු දීමේ හැකියාව වැඩි කරයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන්ට කාලගුණ අනාවැකි භාවිතා කළ හැක්කේ කෙසේද?,"කාලගුණ අනාවැකි මගින් පළිබෝධ ක්‍රියාකාරකම් වලට බලපාන තත්වයන් පිළිබඳ තොරතුරු සපයයි, ඒ අනුව පාලන ක්‍රම සැලසුම් කිරීමට සහ ක්‍රියාත්මක කිරීමට ගොවීන්ට ඉඩ සලසයි."
තිරසාර වී ගොවිතැන සඳහා ඒකාබද්ධ පළිබෝධ කළමනාකරණය (IPM) භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"IPM බහු පළිබෝධ පාලන ක්‍රම ඒකාබද්ධ කිරීම, රසායනික භාවිතය අඩු කිරීම සහ හිතකර ජීවීන් ආරක්ෂා කිරීම මගින් දිගුකාලීන තිරසාරභාවය ප්‍රවර්ධනය කරයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන්ට නව්‍ය පළිබෝධ පාලන තාක්‍ෂණ භාවිතා කළ හැක්කේ කෙසේද?,"ස්මාර්ට් උගුල් සහ සංවේදක වැනි නවෝත්පාදන තාක්‍ෂණයන් පළිබෝධ ගහනය නිරීක්ෂණය කිරීම සහ පාලනය කිරීම සඳහා උසස් විසඳුම් සපයයි."
වී පළිබෝධ පාලනය කිරීමේදී බෝග විවිධත්වය ඉටු කරන කාර්යභාරය කුමක්ද?,"බෝග විවිධත්වය පළිබෝධ ජීවන චක්‍ර කඩාකප්පල් කරන අතර මහා පරිමාණ ආක්‍රමණයේ සම්භාවිතාව අඩු කරයි, සමස්ත පළිබෝධ කළමනාකරණය වැඩිදියුණු කරයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන්ට පුරෝකථන ආකෘති භාවිතා කළ හැක්කේ කෙසේද?,"පුරෝකථන ආකෘති පළිබෝධ ක්‍රියාකාරකම් පුරෝකථනය කිරීමට සහ කළමනාකරණ තීරණ මෙහෙයවීමට දත්ත භාවිතා කරයි, ක්‍රියාකාරී පළිබෝධ පාලන පියවරයන් සඳහා ඉඩ සලසයි."
වී ගොවිතැන සඳහා අඩු බලපෑම් පළිබෝධ පාලන ක්‍රම භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"අඩු බලපෑම් ක්‍රම මගින් පරිසර හානිය අවම කර ඉලක්ක නොවන විශේෂ ආරක්ෂා කිරීම, තිරසාර පළිබෝධ කළමනාකරණයට දායක වීම."
ගොවීන්ට ප්‍රජා පාදක පළිබෝධ කළමනාකරණ ප්‍රවේශයන් භාවිතා කළ හැක්කේ කෙසේද?,"ප්‍රජා-පාදක ප්‍රවේශයන් ඵලදායී පළිබෝධ පාලනය සඳහා දැනුම, සම්පත් සහ උපාය මාර්ග බෙදා ගැනීමට ගොවීන් අතර සහයෝගීතාවය ඇතුළත් වේ."
කුඹුරු පළිබෝධ පාලනය කිරීමේදී නිරවද්‍ය වාරිමාර්ග ඉටු කරන කාර්යභාරය කුමක්ද?,"නිරවද්‍ය වාරිමාර්ග මගින් ජල භාවිතය ප්‍රශස්ත කරයි, පළිබෝධ සංවර්ධනයට හිතකර තත්ත්වයන් අඩු කරයි සහ සමස්ත පළිබෝධ කළමනාකරණය වැඩිදියුණු කරයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන් අවශේෂ කළමනාකරණය භාවිතා කරන්නේ කෙසේද?,"නිසි අවශේෂ කළමනාකරණය මගින් පළිබෝධ වාසස්ථාන අඩු කරන අතර අභිජනන ස්ථාන ඉවත් කිරීමෙන් පළිබෝධ උවදුරේ අවදානම අවම කරයි."
කුඹුරු සඳහා ස්වභාවික පළිබෝධ නාශක භාවිතා කිරීමේ වාසි මොනවාද?,"පරිසර හිතකාමී පළිබෝධ පාලන විකල්පයක් ලබා දෙමින් හිතකර කෘමීන්ට හෝ පරිසරයට හානියක් නොවන පරිදි ස්වභාවික විකර්ෂක පළිබෝධකයන් වළක්වයි."
කුඹුරුවල පළිබෝධ පාලනය වැඩි දියුණු කිරීම සඳහා ගොවීන් ඒකාබද්ධ පළිබෝධ කළමනාකරණ (IPM) මූලධර්ම භාවිතා කරන්නේ කෙසේද?,"IPM මූලධර්මයන් වී පළිබෝධ පාලනය කිරීම සඳහා පුළුල් ප්‍රවේශයක් සඳහා ජීව විද්‍යාත්මක, සංස්කෘතික සහ රසායනික පාලන ක්‍රම ඒකාබද්ධ කරයි."
වී පළිබෝධ පැතිරීම කළමනාකරණය කිරීමේදී පූර්ව මැදිහත්වීම ඉටු කරන කාර්යභාරය කුමක්ද?,"පළිබෝධ ගහනය හානිදායක මට්ටමට පැමිණීම වැළැක්වීම, පුළුල් පාලන ක්‍රියාමාර්ගවල අවශ්‍යතාවය අඩු කිරීම සඳහා පූර්ව මැදිහත්වීම උපකාරී වේ."
වී භෝග ආරක්ෂා කිරීම සඳහා ගොවීන්ට තිරසාර පළිබෝධ කළමනාකරණ පිළිවෙත් භාවිතා කළ හැක්කේ කෙසේද?,"තිරසාර භාවිතයන් පාරිසරික ආරක්ෂාව සහ සම්පත් සංරක්ෂණය සමඟ පළිබෝධ පාලනය සමතුලිත කරන දිගුකාලීන විසඳුම් කෙරෙහි අවධානය යොමු කරයි."
පළිබෝධ කළමනාකරණය සඳහා බෝග අධීක්ෂණ තාක්ෂණයන් භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"බෝග නිරීක්ෂණ තාක්ෂණයන් පළිබෝධ ක්‍රියාකාරකම් සහ බෝග තත්ත්වයන් පිළිබඳ තත්‍ය කාලීන දත්ත සපයයි, කාලෝචිත හා ඵලදායී පළිබෝධ පාලනය සක්‍රීය කරයි."
වී පළිබෝධ පාලනය කිරීමට ගොවීන් ජීව විද්‍යාත්මක කාරක භාවිතා කරන්නේ කෙසේද?,"ප්‍රයෝජනවත් කෘමීන් සහ ක්ෂුද්‍ර ජීවීන් වැනි ජීව විද්‍යාත්මක නියෝජිතයන් විශේෂිත පළිබෝධකයන් ඉලක්ක කර ස්වභාවිකවම ඔවුන්ගේ ගහනය අඩු කිරීමට උපකාරී වේ."
වී පළිබෝධ පාලනය කිරීමේදී ක්ෂේත්‍ර කළමනාකරණය ඉටු කරන කාර්යභාරය කුමක්ද?,"වල් පාලනය සහ පාංශු නඩත්තුව වැනි නිසි ක්ෂේත්‍ර කළමනාකරණ පිළිවෙත්, පළිබෝධ වර්ධනයට හිතකර තත්ත්වයන් අඩු කරයි."
කුඹුරු වල පළිබෝධ උවදුර අවම කිරීම සඳහා ගොවීන් සංස්කෘතික භාවිතයන් භාවිතා කරන්නේ කෙසේද?,"නිසි රෝපණ ශිල්පීය ක්‍රම සහ බෝග මාරු කිරීම වැනි සංස්කෘතික භාවිතයන් පළිබෝධ ගහනය කළමනාකරණය කිරීමට සහ බෝග හානි අවම කිරීමට උපකාරී වේ."
වී ගොවිතැන සඳහා නිරවද්‍ය පළිබෝධ පාලන ක්‍රම භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"නිරවද්‍ය ක්‍රම මගින් නිශ්චිත පළිබෝධ ගහනය ඉලක්ක කර සමස්ත පළිබෝධනාශක භාවිතය අඩු කිරීම, කාර්යක්ෂමතාව වැඩි දියුණු කිරීම සහ පාරිසරික බලපෑම අවම කිරීම."
ගොවීන්ට දත්ත මත පදනම් වූ පළිබෝධ කළමනාකරණ ප්‍රවේශයන් භාවිතා කළ හැක්කේ කෙසේද?,"දත්ත මත පදනම් වූ ප්‍රවේශයන් කළමනාකරණ තීරණ මෙහෙයවීමට සහ පාලන පියවර ප්‍රශස්ත කිරීමට පළිබෝධ ක්‍රියාකාරකම් සහ පාරිසරික තත්ත්වයන් පිළිබඳ තොරතුරු භාවිතා කරයි."
